datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
2005-09-01 12:00:00+00:00,Macico De Baturite,4.5,0.4,-90.8
2005-09-01 12:00:00+00:00,Sertao Central E Inhamuns,1.9,0.0,-98.4
2005-10-01 12:00:00+00:00,Cariri,13.5,0.2,-98.3
2005-10-01 12:00:00+00:00,Ibiapaba,3.0,0.1,-95.4
2005-10-01 12:00:00+00:00,Jaguaribana,2.6,0.0,-100.0
2005-10-01 12:00:00+00:00,Litoral De Fortaleza,3.3,0.0,-100.0
2005-10-01 12:00:00+00:00,Litoral De Pecem,1.4,0.0,-100.0
2005-10-01 12:00:00+00:00,Litoral Norte,0.7,0.0,-100.0
2005-10-01 12:00:00+00:00,Macico De Baturite,3.5,0.2,-94.1
2005-10-01 12:00:00+00:00,Sertao Central E Inhamuns,3.6,0.0,-100.0
2005-11-01 12:00:00+00:00,Cariri,19.5,1.9,-90.2
2005-11-01 12:00:00+00:00,Ibiapaba,6.8,1.7,-75.3
2005-11-01 12:00:00+00:00,Jaguaribana,3.2,0.0,-100.0
2005-11-01 12:00:00+00:00,Litoral De Fortaleza,3.6,0.0,-99.2
2005-11-01 12:00:00+00:00,Litoral De Pecem,2.0,0.1,-96.5
2005-11-01 12:00:00+00:00,Litoral Norte,1.4,0.0,-100.0
2005-11-01 12:00:00+00:00,Macico De Baturite,5.1,0.6,-89.1
2005-11-01 12:00:00+00:00,Sertao Central E Inhamuns,5.0,1.8,-64.6
2005-12-01 12:00:00+00:00,Cariri,68.0,86.4,27.0
2005-12-01 12:00:00+00:00,Ibiapaba,34.2,33.2,-2.9
2005-12-01 12:00:00+00:00,Jaguaribana,21.4,11.2,-47.7
2005-12-01 12:00:00+00:00,Litoral De Fortaleza,25.3,10.2,-59.8
2005-12-01 12:00:00+00:00,Litoral De Pecem,18.2,7.2,-60.7
2005-12-01 12:00:00+00:00,Litoral Norte,20.5,15.7,-23.3
2005-12-01 12:00:00+00:00,Macico De Baturite,23.9,10.0,-58.2
2005-12-01 12:00:00+00:00,Sertao Central E Inhamuns,32.2,31.0,-3.7
2006-01-01 12:00:00+00:00,Cariri,147.7,30.4,-79.4
2006-01-01 12:00:00+00:00,Ibiapaba,109.5,20.3,-81.5
2006-01-01 12:00:00+00:00,Jaguaribana,84.7,23.6,-72.2
2006-01-01 12:00:00+00:00,Litoral De Fortaleza,96.2,11.9,-87.6
2006-01-01 12:00:00+00:00,Litoral De Pecem,87.5,8.2,-90.6
2006-01-01 12:00:00+00:00,Litoral Norte,111.0,12.1,-89.1
2006-01-01 12:00:00+00:00,Macico De Baturite,96.9,52.6,-45.8
2006-01-01 12:00:00+00:00,Sertao Central E Inhamuns,87.6,29.0,-66.9
2006-02-01 12:00:00+00:00,Cariri,157.7,241.3,53.0
2006-02-01 12:00:00+00:00,Ibiapaba,136.6,116.5,-14.7
2006-02-01 12:00:00+00:00,Jaguaribana,105.7,93.2,-11.8
2006-02-01 12:00:00+00:00,Litoral De Fortaleza,133.7,96.9,-27.6
2006-02-01 12:00:00+00:00,Litoral De Pecem,122.9,107.0,-13.0
2006-02-01 12:00:00+00:00,Litoral Norte,152.4,157.4,3.3
2006-02-01 12:00:00+00:00,Macico De Baturite,116.8,111.5,-4.5
2006-02-01 12:00:00+00:00,Sertao Central E Inhamuns,97.7,103.6,6.0
2006-03-01 12:00:00+00:00,Cariri,216.3,236.3,9.2
2006-03-01 12:00:00+00:00,Ibiapaba,230.5,207.2,-10.1
2006-03-01 12:00:00+00:00,Jaguaribana,189.5,167.3,-11.7
2006-03-01 12:00:00+00:00,Litoral De Fortaleza,250.8,217.1,-13.5
2006-03-01 12:00:00+00:00,Litoral De Pecem,231.5,240.8,4.0
2006-03-01 12:00:00+00:00,Litoral Norte,264.2,286.5,8.4
2006-03-01 12:00:00+00:00,Macico De Baturite,209.5,201.3,-3.9
2006-03-01 12:00:00+00:00,Sertao Central E Inhamuns,171.8,138.4,-19.5
2006-04-01 12:00:00+00:00,Cariri,178.5,243.6,36.5
2006-04-01 12:00:00+00:00,Ibiapaba,208.0,196.4,-5.6
2006-04-01 12:00:00+00:00,Jaguaribana,184.2,214.8,16.6
2006-04-01 12:00:00+00:00,Litoral De Fortaleza,263.3,294.9,12.0
2006-04-01 12:00:00+00:00,Litoral De Pecem,210.0,285.6,36.0
2006-04-01 12:00:00+00:00,Litoral Norte,240.2,275.8,14.8
2006-04-01 12:00:00+00:00,Macico De Baturite,222.5,296.5,33.3
2006-04-01 12:00:00+00:00,Sertao Central E Inhamuns,157.7,147.5,-6.5
2006-05-01 12:00:00+00:00,Cariri,64.1,78.3,22.2
2006-05-01 12:00:00+00:00,Ibiapaba,97.0,133.9,38.1
2006-05-01 12:00:00+00:00,Jaguaribana,100.6,174.0,72.9
2006-05-01 12:00:00+00:00,Litoral De Fortaleza,148.9,293.8,97.3
2006-05-01 12:00:00+00:00,Litoral De Pecem,112.0,134.3,19.9
2006-05-01 12:00:00+00:00,Litoral Norte,121.5,164.7,35.6
2006-05-01 12:00:00+00:00,Macico De Baturite,136.6,199.5,46.0
2006-05-01 12:00:00+00:00,Sertao Central E Inhamuns,70.0,107.7,53.9
2006-06-01 12:00:00+00:00,Cariri,20.1,11.4,-43.3
2006-06-01 12:00:00+00:00,Ibiapaba,32.8,36.4,11.0
2006-06-01 12:00:00+00:00,Jaguaribana,43.2,60.3,39.5
2006-06-01 12:00:00+00:00,Litoral De Fortaleza,89.0,131.7,48.0
2006-06-01 12:00:00+00:00,Litoral De Pecem,53.6,55.0,2.7
2006-06-01 12:00:00+00:00,Litoral Norte,37.3,54.2,45.5
2006-06-01 12:00:00+00:00,Macico De Baturite,81.6,137.7,68.7
2006-06-01 12:00:00+00:00,Sertao Central E Inhamuns,29.0,30.1,4.1
2006-07-01 12:00:00+00:00,Cariri,10.4,4.6,-55.6
2006-07-01 12:00:00+00:00,Ibiapaba,12.0,2.1,-82.5
2006-07-01 12:00:00+00:00,Jaguaribana,18.1,4.5,-75.3
2006-07-01 12:00:00+00:00,Litoral De Fortaleza,33.1,10.7,-67.8
2006-07-01 12:00:00+00:00,Litoral De Pecem,21.8,12.2,-44.1
2006-07-01 12:00:00+00:00,Litoral Norte,11.6,1.8,-84.3
2006-07-01 12:00:00+00:00,Macico De Baturite,33.9,27.1,-20.2
2006-07-01 12:00:00+00:00,Sertao Central E Inhamuns,12.9,5.3,-58.8
2006-08-01 12:00:00+00:00,Cariri,3.4,0.4,-88.9
2006-08-01 12:00:00+00:00,Ibiapaba,2.7,2.7,-1.3
2006-08-01 12:00:00+00:00,Jaguaribana,6.7,4.7,-29.2
2006-08-01 12:00:00+00:00,Litoral De Fortaleza,10.0,4.4,-56.1
2006-08-01 12:00:00+00:00,Litoral De Pecem,4.2,3.1,-25.0
2006-08-01 12:00:00+00:00,Litoral Norte,2.2,0.8,-63.7
2006-08-01 12:00:00+00:00,Macico De Baturite,12.9,11.3,-12.4
2006-08-01 12:00:00+00:00,Sertao Central E Inhamuns,4.8,3.3,-32.9
2006-09-01 12:00:00+00:00,Cariri,5.6,0.8,-85.1
2006-09-01 12:00:00+00:00,Ibiapaba,1.1,0.7,-38.5
2006-09-01 12:00:00+00:00,Jaguaribana,1.4,0.1,-91.2
2006-09-01 12:00:00+00:00,Litoral De Fortaleza,5.8,1.9,-68.2
